0,Fecha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Sector,Sector,Cano,Cano,Cano,Cano,Cano,Cano,Cano,Planicie,Planicie,Planicie,Planicie,Planicie,Planicie,Planicie,Transicion,Transicion,Transicion,Transicion,Transicion,Transicion,Transicion
Especie,Especie,Bagre Rayado,Bagre Rayado,Blanquillo,Blanquillo,Bocachico,Bocachico,Nivel,Bagre Rayado,Bagre Rayado,Blanquillo,Blanquillo,Bocachico,Bocachico,Nivel,Bagre Rayado,Bagre Rayado,Blanquillo,Blanquillo,Bocachico,Bocachico,Nivel
Variable,Variable,Area ha,WUA ha,Area ha,WUA ha,Area ha,WUA ha,Promedio_Nivel_(m),Area ha,WUA ha,Area ha,WUA ha,Area ha,WUA ha,Promedio_Nivel_(m),Area ha,WUA ha,Area ha,WUA ha,Area ha,WUA ha,Promedio_Nivel_(m)
0,2020-01-01,506.704456482,467.3717999248199,506.704456482,394.63709715701407,506.704456482,449.2997928070933,5.630982337662804,28071.936991415,17990.041526968762,28071.936991415,16648.021095248758,28071.936991415,22044.357902548305,2.216398352670665,9429.601702172,7422.164161809853,9429.601702172,6026.70497646583,9429.601702172,7507.532976633874,2.216398352670665
29,2020-02-01,544.3788537519999,477.3764520612188,544.3788537519999,428.1991546526838,544.3788537519999,458.7799338754592,6.600779737231751,26012.969913649995,16660.36566179785,26012.969913649995,15458.378447916944,26012.969913649995,20637.875001148248,2.0803432618481583,10137.0327345,7912.611169815401,10137.0327345,6543.960288959002,10137.0327345,8048.397193220646,2.0803432618481583
29,2020-03-01,544.3788537519999,477.3764520612188,544.3788537519999,428.1991546526838,544.3788537519999,458.7799338754592,6.600779737231751,26012.969913649995,16660.36566179785,26012.969913649995,15458.378447916944,26012.969913649995,20637.875001148248,2.0803432618481583,10137.0327345,7912.611169815401,10137.0327345,6543.960288959002,10137.0327345,8048.397193220646,2.0803432618481583
17,2020-04-01,582.835531909,485.6897941682258,582.835531909,445.96328471386767,582.835531909,465.8635467445259,7.643165553410377,29115.61122137601,18823.664759428837,29115.61122137601,17420.985402075337,29115.61122137601,22887.382105855864,2.351517665283684,14671.585180909007,10967.510185466324,14671.585180909007,9293.457291756064,14671.585180909007,11286.59352181696,2.351517665283684
7,2020-05-01,588.9259737819999,490.1122518135796,588.9259737819999,451.0026093458166,588.9259737819999,469.94997944358255,7.824359691490341,34526.02895537,22029.94923696273,34526.02895537,20305.598671060685,34526.02895537,26334.62168872811,2.3744606268772968,13397.507766252002,10048.467646901085,13397.507766252002,8527.149036480883,13397.507766252002,10334.678478690876,2.3744606268772968
24,2020-06-01,552.649748425,478.00949464433904,552.649748425,432.1633360697267,552.649748425,459.0716373576042,6.809198358238271,35836.900702644,23015.285063549407,35836.900702644,21137.061296459266,35836.900702644,27296.14152032211,2.3772917317254936,13048.315867637,9847.131468839789,13048.315867637,8296.99435689188,13048.315867637,10159.819534575936,2.3772917317254936
14,2020-07-01,545.625151503,478.5172100217769,545.625151503,430.1260154465893,545.625151503,459.8461279995348,6.625487753283259,41168.914915008994,26058.353174916778,41168.914915008994,23794.78652091013,41168.914915008994,30350.01010699426,2.3274760909208814,13096.239233700995,9890.703372691149,13096.239233700995,8330.58296037061,13096.239233700995,10226.620607042238,2.3274760909208814
14,2020-08-01,545.625151503,478.5172100217769,545.625151503,430.1260154465893,545.625151503,459.8461279995348,6.625487753283259,41168.914915008994,26058.353174916778,41168.914915008994,23794.78652091013,41168.914915008994,30350.01010699426,2.3274760909208814,13096.239233700995,9890.703372691149,13096.239233700995,8330.58296037061,13096.239233700995,10226.620607042238,2.3274760909208814
24,2020-09-01,552.649748425,478.00949464433904,552.649748425,432.1633360697267,552.649748425,459.0716373576042,6.809198358238271,35836.900702644,23015.285063549407,35836.900702644,21137.061296459266,35836.900702644,27296.14152032211,2.3772917317254936,13048.315867637,9847.131468839789,13048.315867637,8296.99435689188,13048.315867637,10159.819534575936,2.3772917317254936
2,2020-10-01,586.0024013340001,487.074100318958,586.0024013340001,447.6405643335127,586.0024013340001,466.8933583013039,7.699466623781949,43318.088653757,27578.357429366217,43318.088653757,25050.01674224733,43318.088653757,31745.78243114754,2.321545441563312,18675.012241,14116.785010788664,18675.012241,11975.938044934896,18675.012241,14470.017339167456,2.321545441563312
11,2020-11-01,629.438839507,480.3231803382683,629.438839507,444.9943396943647,629.438839507,458.7801942868631,8.944701558306358,48960.908139344,31619.57767357292,48960.908139344,28323.31258268193,48960.908139344,35241.61725882864,2.289844334117024,32808.372958719,25961.23626823084,32808.372958719,21444.922773628517,32808.372958719,25266.427474397173,2.289844334117024
11,2020-12-01,629.438839507,480.3231803382683,629.438839507,444.9943396943647,629.438839507,458.7801942868631,8.944701558306358,48960.908139344,31619.57767357292,48960.908139344,28323.31258268193,48960.908139344,35241.61725882864,2.289844334117024,32808.372958719,25961.23626823084,32808.372958719,21444.922773628517,32808.372958719,25266.427474397173,2.289844334117024
