0,Fecha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Sector,Sector,Cano,Cano,Cano,Cano,Cano,Cano,Cano,Planicie,Planicie,Planicie,Planicie,Planicie,Planicie,Planicie,Transicion,Transicion,Transicion,Transicion,Transicion,Transicion,Transicion
Especie,Especie,Bagre Rayado,Bagre Rayado,Blanquillo,Blanquillo,Bocachico,Bocachico,Nivel,Bagre Rayado,Bagre Rayado,Blanquillo,Blanquillo,Bocachico,Bocachico,Nivel,Bagre Rayado,Bagre Rayado,Blanquillo,Blanquillo,Bocachico,Bocachico,Nivel
Variable,Variable,Area ha,WUA ha,Area ha,WUA ha,Area ha,WUA ha,Promedio_Nivel_(m),Area ha,WUA ha,Area ha,WUA ha,Area ha,WUA ha,Promedio_Nivel_(m),Area ha,WUA ha,Area ha,WUA ha,Area ha,WUA ha,Promedio_Nivel_(m)
29,2020-01-01,544.3788537519999,477.3764520612188,544.3788537519999,428.1991546526838,544.3788537519999,458.7799338754592,6.600779737231751,26012.969913649995,16660.36566179785,26012.969913649995,15458.378447916944,26012.969913649995,20637.875001148248,2.0803432618481583,10137.0327345,7912.611169815401,10137.0327345,6543.960288959002,10137.0327345,8048.397193220646,2.0803432618481583
12,2020-02-01,480.1978519400001,453.2524171812029,480.1978519400001,362.2549349974494,480.1978519400001,435.31204318540574,4.8311227867412985,25083.372023589,15855.828971048715,25083.372023589,14690.034912937475,25083.372023589,19791.96057904553,1.856581488590816,8090.168475458002,6407.99024271203,8090.168475458002,5073.575233633052,8090.168475458002,6363.951683678883,1.856581488590816
3,2020-03-01,517.272285304,470.93161777661294,517.272285304,405.27077556447966,517.272285304,452.5940399123959,5.906235454058269,25091.120648678992,15854.106180200071,25091.120648678992,14686.82179765186,25091.120648678992,19798.313259957,1.8581064050301657,8700.744437370999,6958.068836775824,8700.744437370999,5606.026557177424,8700.744437370999,6940.919166639361,1.8581064050301657
29,2020-04-01,544.3788537519999,477.3764520612188,544.3788537519999,428.1991546526838,544.3788537519999,458.7799338754592,6.600779737231751,26012.969913649995,16660.36566179785,26012.969913649995,15458.378447916944,26012.969913649995,20637.875001148248,2.0803432618481583,10137.0327345,7912.611169815401,10137.0327345,6543.960288959002,10137.0327345,8048.397193220646,2.0803432618481583
17,2020-05-01,582.835531909,485.6897941682258,582.835531909,445.96328471386767,582.835531909,465.8635467445259,7.643165553410377,29115.61122137601,18823.664759428837,29115.61122137601,17420.985402075337,29115.61122137601,22887.382105855864,2.351517665283684,14671.585180909007,10967.510185466324,14671.585180909007,9293.457291756064,14671.585180909007,11286.59352181696,2.351517665283684
20,2020-06-01,546.3539575100001,477.3904640979028,546.3539575100001,429.235385918416,546.3539575100001,458.707807675449,6.646205941197985,30511.997746059995,19742.92102853445,30511.997746059995,18238.781680320404,30511.997746059995,23896.34750741869,2.370088375094213,10894.198650032,8344.733538820818,10894.198650032,6965.020639560667,10894.198650032,8591.793976831921,2.370088375094213
0,2020-07-01,506.704456482,467.3717999248199,506.704456482,394.63709715701407,506.704456482,449.2997928070933,5.630982337662804,28071.936991415,17990.041526968762,28071.936991415,16648.021095248758,28071.936991415,22044.357902548305,2.216398352670665,9429.601702172,7422.164161809853,9429.601702172,6026.70497646583,9429.601702172,7507.532976633874,2.216398352670665
15,2020-08-01,526.435348397,474.1672035327786,526.435348397,414.8355919927607,526.435348397,455.9044984353124,6.147058726991326,26902.60329556201,17234.381818929316,26902.60329556201,15997.34572570739,26902.60329556201,21285.8333752282,2.1601471012946667,10300.830353008,8002.877968485761,10300.830353008,6593.58499921162,10300.830353008,8189.546388011055,2.1601471012946667
19,2020-09-01,499.178761145,463.4968469437164,499.178761145,385.38252837764566,499.178761145,445.6555034581993,5.413252004313131,29791.09483323101,19159.47970281005,29791.09483323101,17765.794573940235,29791.09483323101,23325.172032907125,2.361139197302585,10469.971068946998,8062.518173544976,10469.971068946998,6620.162235885517,10469.971068946998,8245.793704080425,2.361139197302585
20,2020-10-01,546.3539575100001,477.3904640979028,546.3539575100001,429.235385918416,546.3539575100001,458.707807675449,6.646205941197985,30511.997746059995,19742.92102853445,30511.997746059995,18238.781680320404,30511.997746059995,23896.34750741869,2.370088375094213,10894.198650032,8344.733538820818,10894.198650032,6965.020639560667,10894.198650032,8591.793976831921,2.370088375094213
20,2020-11-01,546.3539575100001,477.3904640979028,546.3539575100001,429.235385918416,546.3539575100001,458.707807675449,6.646205941197985,30511.997746059995,19742.92102853445,30511.997746059995,18238.781680320404,30511.997746059995,23896.34750741869,2.370088375094213,10894.198650032,8344.733538820818,10894.198650032,6965.020639560667,10894.198650032,8591.793976831921,2.370088375094213
20,2020-12-01,546.3539575100001,477.3904640979028,546.3539575100001,429.235385918416,546.3539575100001,458.707807675449,6.646205941197985,30511.997746059995,19742.92102853445,30511.997746059995,18238.781680320404,30511.997746059995,23896.34750741869,2.370088375094213,10894.198650032,8344.733538820818,10894.198650032,6965.020639560667,10894.198650032,8591.793976831921,2.370088375094213
